date,Open,Low,High,Close,date1
2014-03-26,65.75,60.31,66.1,64.66,2014-03-26
2014-03-27,60.42,57.98,61.9,60.88,2014-03-27
2014-04-01,61.2415,60.24,62.99,62.84,2014-04-01
2014-04-02,63.14,62.01,63.91,62.98,2014-04-02
2014-04-03,59.46,59.13,63.17,61.79,2014-04-03
2014-04-08,58.1,56.95,58.71,58.24,2014-04-08
2014-04-10,62.19,58.68,63.53,59.29,2014-04-10
2014-04-14,59.42,57.78,60.45,58.93,2014-04-14
2014-04-15,59.082,55.88,59.9,59.67,2014-04-15
2014-04-16,59.77,57.74,60.19,58.55,2014-04-16
2014-04-17,59.18,58.45,60.58,59.65,2014-04-17
2014-04-22,62.95,62.0,63.44,62.97,2014-04-22
2014-04-23,63.57,56.96,65.04,62.24,2014-04-23
2014-04-29,57.79,55.41,58.28,57.58,2014-04-29
2014-04-30,58.37,57.1,60.55,59.49,2014-04-30
2014-05-05,61.1101,59.18,61.35,59.8,2014-05-05
2014-05-06,59.96,58.49,61.42,59.29,2014-05-06
2014-05-08,57.1501,56.5,58.82,57.01,2014-05-08
2014-05-09,57.05,56.38,57.65,57.09,2014-05-09
2014-05-13,59.81,59.51,60.89,60.14,2014-05-13
2014-05-14,59.85,58.95,60.45,59.35,2014-05-14
2014-05-15,58.37,57.52,59.61,57.64,2014-05-15
2014-05-16,57.5399,57.31,58.45,58.0,2014-05-16
2014-05-19,59.29,57.57,59.56,59.28,2014-05-19
2014-05-20,59.0,58.18,60.19,58.28,2014-05-20
2014-05-21,58.6,58.25,60.69,59.989,2014-05-21
2014-05-22,60.49,60.4,61.48,61.0766,2014-05-22
2014-05-23,61.1586,60.15,61.45,60.93,2014-05-23
2014-05-27,61.88,61.57,63.58,62.82,2014-05-27
2014-05-28,63.7,62.62,64.14,62.95,2014-05-28
2014-05-29,63.92,63.3,64.3,63.96,2014-05-29
2014-05-30,63.45,62.56,64.17,63.06,2014-05-30
2014-06-06,63.36,62.15,63.48,62.475,2014-06-06
2014-06-09,63.1699,61.79,63.34,62.94,2014-06-09
2014-06-11,65.3,64.9,65.89,64.9401,2014-06-11
2014-06-12,64.37,64.06,66.5,64.5032,2014-06-12
2014-06-16,64.16,63.75,64.88,64.27,2014-06-16
2014-06-17,64.529,63.93,64.88,64.42,2014-06-17
2014-06-19,65.52,64.1,65.6,65.11,2014-06-19
2014-06-20,63.5401,63.35,64.81,64.14,2014-06-20
2014-06-27,67.47,66.53,67.7,67.34,2014-06-27
2014-06-28,67.6,67.6,67.6,67.6,2014-06-28
2014-07-08,62.355,62.21,65.56,65.47,2014-07-08
2014-07-14,67.9,66.34,68.17,67.92,2014-07-14
2014-07-15,68.03,66.26,68.17,66.86,2014-07-15
2014-07-17,66.34,66.0,67.85,66.7201,2014-07-17
2014-07-18,68.5,66.16,68.69,68.25,2014-07-18
2014-07-22,69.87,68.61,69.95,69.145,2014-07-22
2014-07-24,76.35,74.51,78.44,75.31,2014-07-24
2014-08-05,72.65,72.18,73.99,73.33,2014-08-05
2014-08-06,73.37,71.79,73.72,72.54,2014-08-06
2014-08-08,73.34,72.3,73.43,73.0,2014-08-08
2014-08-12,72.3499,72.22,73.67,72.27,2014-08-12
2014-08-18,74.52,73.8,74.72,74.1,2014-08-18
2014-08-19,75.37,74.75,75.58,75.49,2014-08-19
2014-08-20,74.88,74.62,75.37,74.71,2014-08-20
2014-08-21,74.72,74.4149,75.19,74.53,2014-08-21
2014-08-27,74.65,74.46,76.28,74.55,2014-08-27
2014-09-04,76.535,75.47,76.93,76.59,2014-09-04
2014-09-05,77.23,75.598,77.38,76.07,2014-09-05
2014-09-08,77.39,77.01,78.17,77.921,2014-09-08
2014-09-09,77.525,76.2,78.17,76.46,2014-09-09
2014-09-10,76.9,76.51,77.95,76.78,2014-09-10
2014-09-11,77.9299,76.53,78.36,77.8801,2014-09-11
2014-09-15,75.165,73.43,77.35,77.27,2014-09-15
2014-09-16,76.14,73.07,76.23,74.49,2014-09-16
2014-09-18,76.9,76.12,77.33,76.955,2014-09-18
2014-09-19,77.5,76.44,78.3,76.72,2014-09-19
2014-09-25,77.7,77.13,78.99,78.63,2014-09-25
2014-09-30,79.085,78.6,79.7,79.37,2014-09-30
2014-10-01,76.09,75.9,79.08,78.81,2014-10-01
2014-10-02,76.92,75.64,77.48,76.94,2014-10-02
2014-10-03,77.68,77.08,78.06,77.3,2014-10-03
2014-10-09,77.695,75.33,78.04,77.24,2014-10-09
2014-10-10,73.65,72.76,76.5,73.79,2014-10-10
2014-10-14,73.85,72.05,74.27,73.27,2014-10-14
2014-10-15,72.02,70.32,73.8,72.95,2014-10-15
2014-10-16,72.98,70.58,73.35,72.24,2014-10-16
2014-10-20,77.16,75.38,77.34,76.61,2014-10-20
2014-10-21,78.63,76.95,78.85,77.58,2014-10-21
2014-10-24,79.9,79.32,80.84,80.2,2014-10-24
2014-10-27,80.9599,79.51,81.0499,80.37,2014-10-27
2014-10-29,75.79,73.5,79.0,75.93,2014-10-29
2014-10-30,74.07,72.9,76.1,74.02,2014-10-30
2014-11-04,74.09,73.65,75.85,74.699,2014-11-04
2014-11-05,76.43,74.42,76.8,74.68,2014-11-05
2014-11-06,75.36,74.31,76.29,75.0199,2014-11-06
2014-11-07,75.3,75.25,75.33,75.31,2014-11-07
2014-11-10,75.05,74.61,75.83,74.95,2014-11-10
2014-11-11,74.84,74.82,74.9,74.86,2014-11-11
2014-11-12,74.72,73.54,75.14,73.78,2014-11-12
2014-11-13,74.19,73.64,75.24,74.11,2014-11-13
2014-11-14,74.93,74.04,75.0,74.71,2014-11-14
2014-11-15,74.9,74.9,74.93,74.93,2014-11-15
2014-11-17,74.14699999999999,73.5,75.655,74.83,2014-11-17
2014-11-18,74.17,74.07,74.25,74.14,2014-11-18
2014-11-19,73.3,73.11,74.54,73.863,2014-11-19
2014-11-20,73.4399,72.51,73.99,73.84,2014-11-20
2014-11-21,73.98,73.5,74.55,74.26,2014-11-21
2014-11-22,73.75,73.69,73.75,73.7,2014-11-22
2014-11-26,77.44,75.45,77.78,77.3199,2014-11-26
2014-11-27,77.6,77.58,77.6,77.59,2014-11-27
2014-11-28,77.53,77.23,78.27,77.47,2014-11-28
2014-12-01,77.4,74.8,77.7,75.8,2014-12-01
2014-12-02,75.61,74.98,75.91,75.1,2014-12-02
2014-12-03,75.5,75.47,75.53,75.47,2014-12-03
2014-12-04,75.23,74.47,75.55,75.3,2014-12-04
2014-12-05,76.225,75.24,76.76,75.26,2014-12-05
2014-12-06,76.35,76.35,76.39,76.36,2014-12-06
2014-12-09,75.65,74.78,76.93,76.1199,2014-12-09
2014-12-10,76.85,75.8818,76.9,75.8818,2014-12-10
2014-12-15,77.04,76.56,78.68,77.8001,2014-12-15
2014-12-16,77.15,77.0,77.15,77.09,2014-12-16
2014-12-17,75.69,74.68,76.41,75.13,2014-12-17
2014-12-18,78.065,76.12,78.42,77.65,2014-12-18
2014-12-19,79.5899,78.21,80.0,79.46,2014-12-19
2014-12-20,79.75,79.73,79.84,79.84,2014-12-20
2014-12-22,81.43,79.49,81.89,81.5868,2014-12-22
2014-12-23,80.76899999999999,80.4,82.17,81.81,2014-12-23
2014-12-24,81.137,80.35,81.43,81.18,2014-12-24
2014-12-26,80.8,80.51,81.28,81.19,2014-12-26
2014-12-27,80.79,80.76,80.8,80.79,2014-12-27
2014-12-29,79.93,79.71,80.96,80.16,2014-12-29
2014-12-30,80.1,79.1,80.59,79.6599,2014-12-30
2014-12-31,79.24,77.86,79.8,79.665,2014-12-31
2015-01-01,78.12,78.1,78.17,78.15,2015-01-01
2015-01-02,77.77,77.7,78.93,77.98,2015-01-02
2015-01-03,78.38,78.36,78.42,78.39,2015-01-03
2015-01-05,77.36,76.86,79.2455,77.3299,2015-01-05
2015-01-06,77.38,77.3,77.38,77.33,2015-01-06
2015-01-07,76.33,75.82,77.36,76.21,2015-01-07
2015-01-08,76.24,76.08,78.23,78.01,2015-01-08
2015-01-09,77.925,77.2,78.62,77.93,2015-01-09
2015-01-10,77.7001,77.68,77.72,77.72,2015-01-10
2015-01-14,76.65,76.03,77.2,76.51,2015-01-14
2015-01-15,76.56,76.45,76.56,76.54,2015-01-15
2015-01-16,75.15,73.3,75.32,73.79,2015-01-16
2015-01-17,75.15,75.13,75.18,75.13,2015-01-17
2015-01-20,76.16,74.82,76.39,75.48,2015-01-20
2015-01-21,76.31,76.24,76.37,76.35,2015-01-21
2015-01-22,77.64,76.68,77.75,77.5825,2015-01-22
2015-01-23,77.91,77.04,78.19,77.92,2015-01-23
2015-01-24,77.8,77.75,77.83,77.83,2015-01-24
2015-01-26,77.79,77.29,78.47,77.6,2015-01-26
2015-01-27,75.78,75.63,77.56,75.715,2015-01-27
2015-01-28,76.63,76.6,76.73,76.6,2015-01-28
2015-01-29,77.0,74.21,79.35,76.83,2015-01-29
2015-01-30,78.03,75.75,79.11,76.39,2015-01-30
2015-01-31,75.98,75.95,76.0,76.0,2015-01-31
2015-02-04,76.0352,74.6,76.35,75.1,2015-02-04
2015-02-05,75.8301,75.1,76.1,75.66,2015-02-05
2015-02-06,74.93,74.25,76.0,75.2432,2015-02-06
2015-02-07,74.5,74.4,74.53,74.53,2015-02-07
2015-02-12,76.89,75.89,77.25,76.19,2015-02-12
2015-02-13,76.03,76.03,76.18,76.05,2015-02-13
2015-02-19,79.189,76.57,79.84,79.7154,2015-02-19
2015-02-20,79.41,79.36,79.45,79.36,2015-02-20
2015-02-24,78.65,78.1,79.48,78.62,2015-02-24
2015-02-25,79.955,78.3,80.2,79.29,2015-02-25
2015-02-26,81.0,79.35,81.37,80.24,2015-02-26
2015-02-27,80.55,80.42,80.6,80.56,2015-02-27
2015-03-02,79.83,78.52,79.855,79.36,2015-03-02
2015-03-03,79.6,78.52,79.74,79.58,2015-03-03
2015-03-04,80.29,78.85,81.15,79.31,2015-03-04
2015-03-05,80.88,80.85,80.99,80.88,2015-03-05
2015-03-06,80.32,79.83,81.33,80.4,2015-03-06
2015-03-07,79.9701,79.92,80.01,79.97,2015-03-07
2015-03-09,79.23,78.63,80.23,78.79,2015-03-09
2015-03-12,78.92,77.8,79.05,78.719,2015-03-12
2015-03-17,79.07,77.86,79.78,79.68,2015-03-17
2015-03-18,79.21,79.05,81.24,79.44,2015-03-18
2015-03-19,82.79,80.65,83.0,82.79,2015-03-19
2015-03-25,83.07,82.92,85.89,83.74,2015-03-25
2015-03-30,82.9664,81.9992,84.34,83.65,2015-03-30
2015-03-31,82.995,82.12,83.5,82.91,2015-03-31
2015-04-01,82.15,80.87,82.72,81.745,2015-04-01
2015-04-02,81.62,81.4,82.56,81.9,2015-04-02
2015-04-09,82.18,81.71,82.8,81.85,2015-04-09
2015-04-14,82.7,82.44,83.69,83.28,2015-04-14
2015-04-21,83.8397,83.43,84.49,83.58,2015-04-21
2015-04-22,82.8,81.0,85.16,84.09,2015-04-22
2015-04-27,82.35,81.4,82.93,81.66,2015-04-27
2015-05-01,78.89,78.11,79.76,78.97,2015-05-01
2015-05-04,79.49,78.6301,79.76,78.8,2015-05-04
2015-05-05,78.29,77.22,79.26,77.5,2015-05-05
2015-05-06,78.475,77.05,78.81,78.2,2015-05-06
2015-05-15,80.35,80.18,81.98,80.24,2015-05-15
2015-05-20,80.44,79.46,81.1,80.19,2015-05-20
2015-05-21,80.6,80.08,80.92,80.52,2015-05-21
2015-05-26,79.52,79.08,80.72,79.51,2015-05-26
2015-05-27,80.53,79.42,80.66,80.63,2015-05-27
2015-05-28,80.22,80.0,81.0745,80.3,2015-05-28
2015-05-29,79.43,78.88,80.2,79.19,2015-05-29
2015-06-01,79.9801,78.66,80.38,79.8565,2015-06-01
2015-06-02,80.45,79.56,81.35,80.71,2015-06-02
2015-06-03,81.15,80.55,82.751,82.42,2015-06-03
2015-06-05,82.2799,81.44,82.46,82.26,2015-06-05
2015-06-08,81.72,80.13,82.28,81.157,2015-06-08
2015-06-09,80.16,79.32,81.19,80.88,2015-06-09
2015-06-11,81.91,81.36,82.9,82.15,2015-06-11
2015-06-12,81.46,81.2,82.09,81.6102,2015-06-12
2015-06-19,82.3151,82.12,83.15,82.71,2015-06-19
2015-06-26,87.32,86.8283,88.34,88.06,2015-06-26
2015-06-29,86.56,85.73,87.8,86.6,2015-06-29
2015-07-01,86.74,85.765,87.95,86.72,2015-07-01
2015-07-02,86.92,86.3401,87.58,87.01,2015-07-02
2015-07-08,85.98100000000001,85.445,86.75,86.175,2015-07-08
2015-07-09,87.21,85.6499,87.6,86.14,2015-07-09
2015-07-10,87.13,86.49,88.22,87.87,2015-07-10
2015-07-13,88.68299999999999,88.31,90.43,88.6,2015-07-13
2015-07-16,89.94,89.77,92.84,92.5,2015-07-16
2015-07-21,98.08,96.76,99.3,97.19,2015-07-21
2015-07-22,96.13,95.92,97.58,97.07,2015-07-22
2015-07-23,96.34,94.81,97.58,97.48,2015-07-23
2015-07-24,96.139,95.88,98.06,97.34299999999999,2015-07-24
2015-07-27,96.9,93.8301,97.3,94.23,2015-07-27
2015-07-28,95.7,93.31,96.67,94.9799,2015-07-28
2015-07-29,95.71,90.6,97.49,96.0,2015-07-29
2015-07-30,95.23,91.8,95.99,94.77,2015-07-30
2015-07-31,94.99,93.55,96.33,95.92,2015-07-31
2015-08-03,93.36,92.8,95.08,93.74,2015-08-03
2015-08-04,93.76,93.33,94.73,93.8,2015-08-04
2015-08-06,94.83,94.42,98.74,96.87,2015-08-06
2015-08-11,93.45,92.9006,94.76,93.91,2015-08-11
2015-08-14,94.38,93.1,94.72,94.537,2015-08-14
2015-08-17,93.83,93.39,95.01,93.7151,2015-08-17
2015-08-18,95.37700000000001,93.46,95.85,94.75,2015-08-18
2015-08-21,89.3,85.61,89.85,87.75,2015-08-21
2015-08-24,86.4649,72.0,87.14,82.15,2015-08-24
2015-08-26,85.27,83.26,87.46,84.33,2015-08-26
2015-08-28,90.82799999999999,88.89,91.48,90.88,2015-08-28
2015-08-31,89.07,88.52,91.05,90.25,2015-08-31
2015-09-03,89.3777,87.73,90.71,89.07,2015-09-03
2015-09-08,89.66,88.83,90.41,89.27,2015-09-08
2015-09-09,91.56,90.0,91.98,91.61,2015-09-09
2015-09-11,92.24,91.13,92.3,91.55,2015-09-11
2015-09-21,95.62,94.3,96.49,95.03,2015-09-21
2015-09-24,93.9698,92.24,94.765,92.43,2015-09-24
2015-09-28,89.14,88.18,92.8,89.19,2015-09-28
2015-09-29,86.66,85.72,90.06,86.039,2015-09-29
2015-10-01,89.63,88.36,91.28,89.63,2015-10-01
2015-10-05,92.61,92.3,94.27,93.9,2015-10-05
2015-10-07,91.745,91.37,93.66,91.905,2015-10-07
2015-10-08,90.7001,90.47,93.22,92.21,2015-10-08
2015-10-09,93.26,92.0,93.74,93.3662,2015-10-09
2015-10-12,93.26,92.67,94.6,94.14,2015-10-12
2015-10-20,97.7,96.56,99.59,97.32,2015-10-20
2015-10-21,97.03,96.47,98.18,97.4,2015-10-21
2015-10-22,102.3,96.9,102.61,99.14,2015-10-22
2015-10-23,101.99,100.0,103.0,100.86,2015-10-23
2015-10-26,102.08,101.55,103.92,103.68,2015-10-26
2015-10-30,101.94,101.65,105.4,101.99,2015-10-30
2015-11-02,103.25,101.18,103.47,103.05,2015-11-02
2015-11-03,103.27,103.13,103.35,103.13,2015-11-03
2015-11-04,106.03,102.0,109.34,103.71,2015-11-04
2015-11-05,109.5,107.22,110.65,109.36,2015-11-05
2015-11-06,106.10600000000001,105.91,109.0,108.34,2015-11-06
2015-11-07,107.05,107.02,107.06,107.03,2015-11-07
2015-11-10,108.07,105.24,108.15,107.52,2015-11-10
2015-11-11,109.6,107.11,109.87,108.368,2015-11-11
2015-11-12,109.14,107.65,109.39,108.9,2015-11-12
2015-11-13,106.38,103.05,108.25,104.0,2015-11-13
2015-11-14,103.28,103.1,103.5,103.32,2015-11-14
2015-11-18,105.69,105.0,107.92,107.77,2015-11-18
