,weekNum,year,level_2,Close
63,18 week,2016,Close,119.0
64,18 week,2017,Close,150.77
65,18 week,2018,Close,178.92
66,18 week,2019,Close,192.82
67,18 week,2020,Close,204.2
68,19 week,2014,Close,59.2901
69,19 week,2015,Close,78.425
70,19 week,2016,Close,120.1
71,19 week,2017,Close,150.5
72,19 week,2018,Close,186.63
73,19 week,2019,Close,184.85
74,19 week,2020,Close,214.43
75,02 week,2014,Close,56.0
76,02 week,2015,Close,76.56
77,02 week,2016,Close,94.71
78,02 week,2017,Close,128.43
79,02 week,2018,Close,179.85
80,02 week,2019,Close,141.8
81,02 week,2020,Close,221.28
82,20 week,2014,Close,59.1899
83,20 week,2015,Close,80.97
84,20 week,2016,Close,115.9
85,20 week,2017,Close,147.81
86,20 week,2018,Close,183.67
87,20 week,2019,Close,183.6001
88,20 week,2020,Close,213.87
89,21 week,2014,Close,61.1201
90,21 week,2015,Close,80.99
91,21 week,2016,Close,119.39
92,21 week,2017,Close,151.8
93,21 week,2018,Close,185.02
94,21 week,2019,Close,182.8868
95,21 week,2020,Close,234.85
96,22 week,2014,Close,62.8699
97,22 week,2015,Close,79.35
98,22 week,2016,Close,118.89
99,22 week,2017,Close,153.98
100,22 week,2018,Close,191.31
101,22 week,2019,Close,170.71
102,22 week,2020,Close,228.515
103,23 week,2014,Close,62.54
104,23 week,2015,Close,81.105
105,23 week,2016,Close,114.12899999999999
106,23 week,2017,Close,149.25
107,23 week,2018,Close,188.42
108,23 week,2019,Close,174.75
109,23 week,2020,Close,228.8315
110,24 week,2014,Close,64.025
111,24 week,2015,Close,80.15
112,24 week,2016,Close,113.89
113,24 week,2017,Close,152.965
114,24 week,2018,Close,198.4
115,24 week,2019,Close,186.52200000000002
116,24 week,2020,Close,229.58
117,25 week,2014,Close,64.69
118,25 week,2015,Close,84.88
119,25 week,2016,Close,108.86
120,25 week,2017,Close,154.58
121,25 week,2018,Close,199.98
122,25 week,2019,Close,193.1
123,25 week,2020,Close,239.05
124,26 week,2014,Close,67.6599
125,26 week,2015,Close,85.94
126,26 week,2016,Close,114.83200000000001
127,26 week,2017,Close,148.08
128,26 week,2018,Close,194.19
129,26 week,2019,Close,193.1
130,26 week,2020,Close,220.3
131,27 week,2014,Close,65.91
132,27 week,2015,Close,86.4
133,27 week,2016,Close,118.0172
134,27 week,2017,Close,151.91
135,27 week,2018,Close,203.1516
136,27 week,2019,Close,194.66
137,27 week,2020,Close,238.42
138,28 week,2014,Close,67.725
139,28 week,2015,Close,89.946
140,28 week,2016,Close,119.0
141,28 week,2017,Close,159.106
142,28 week,2018,Close,207.16
143,28 week,2019,Close,204.3009
144,28 week,2020,Close,241.3
145,29 week,2014,Close,69.53
146,29 week,2015,Close,96.86
147,29 week,2016,Close,120.7665
148,29 week,2017,Close,165.65
149,29 week,2018,Close,210.685
150,29 week,2019,Close,202.25
151,29 week,2020,Close,243.1902
152,03 week,2014,Close,56.25
153,03 week,2015,Close,75.16
154,03 week,2016,Close,98.32
155,03 week,2017,Close,127.67
156,03 week,2018,Close,184.1
157,03 week,2019,Close,150.1701
158,03 week,2020,Close,221.8
159,30 week,2014,Close,74.92
160,30 week,2015,Close,94.03
161,30 week,2016,Close,124.3236
162,30 week,2017,Close,168.98
163,30 week,2018,Close,167.75
164,30 week,2019,Close,197.1396
165,30 week,2020,Close,233.37
166,31 week,2014,Close,73.79
167,31 week,2015,Close,94.05
168,31 week,2016,Close,125.46
169,31 week,2017,Close,172.0
170,31 week,2018,Close,185.63
171,31 week,2019,Close,182.38
172,31 week,2020,Close,254.5
173,32 week,2014,Close,73.51899999999999
174,32 week,2015,Close,94.45
175,32 week,2016,Close,125.16
176,32 week,2017,Close,170.355
177,32 week,2018,Close,180.28
178,32 week,2019,Close,187.81
179,32 week,2020,Close,262.385
180,33 week,2014,Close,74.12
181,33 week,2015,Close,93.9399
182,33 week,2016,Close,124.115
183,33 week,2017,Close,167.39
184,33 week,2018,Close,174.06
185,33 week,2019,Close,186.03
186,33 week,2020,Close,260.1298
187,34 week,2014,Close,75.1301
188,34 week,2015,Close,82.023
189,34 week,2016,Close,125.7484
190,34 week,2017,Close,167.15
191,34 week,2018,Close,177.9
192,34 week,2019,Close,179.9787
193,34 week,2020,Close,271.68
194,35 week,2014,Close,74.3
195,35 week,2015,Close,89.5
196,35 week,2016,Close,126.6
197,35 week,2017,Close,172.18
198,35 week,2018,Close,175.72
199,35 week,2019,Close,185.07
200,35 week,2020,Close,294.1314
201,36 week,2014,Close,77.9201
202,36 week,2015,Close,86.9797
203,36 week,2016,Close,128.1
204,36 week,2017,Close,173.51
205,36 week,2018,Close,163.63
206,36 week,2019,Close,188.8
207,36 week,2020,Close,281.5962
208,37 week,2014,Close,74.464
209,37 week,2015,Close,92.29
210,37 week,2016,Close,128.88
211,37 week,2017,Close,171.06799999999998
212,37 week,2018,Close,161.94
213,37 week,2019,Close,186.37
214,37 week,2020,Close,271.01
215,38 week,2014,Close,76.23
216,38 week,2015,Close,95.78
217,38 week,2016,Close,127.485
218,38 week,2017,Close,164.4
219,38 week,2018,Close,164.59
220,38 week,2019,Close,186.24
221,38 week,2020,Close,248.58
222,39 week,2014,Close,79.02
223,39 week,2015,Close,89.49
224,39 week,2016,Close,127.96
225,39 week,2017,Close,170.62
226,39 week,2018,Close,162.4
227,39 week,2019,Close,178.06
228,39 week,2020,Close,255.88
229,04 week,2014,Close,52.86
230,04 week,2015,Close,77.51
231,04 week,2016,Close,114.6
232,04 week,2017,Close,129.98
233,04 week,2018,Close,187.74
234,04 week,2019,Close,146.89
235,04 week,2020,Close,214.45
236,40 week,2014,Close,77.2
237,40 week,2015,Close,93.91
238,40 week,2016,Close,130.41
239,40 week,2017,Close,172.65
240,40 week,2018,Close,156.7501
241,40 week,2019,Close,180.72
242,40 week,2020,Close,261.35
243,41 week,2014,Close,74.007
