date,Open,Low,High,Close,Volume,PE,date1,Returns,day,year,MovingAvg,UB,LB,STD,pct_ma,MovingAvgReturn,line
2014-04-17,59.18,58.45,60.58,59.65,67272283.0,99.41666666666667,2014-04-17,0.018787361229718247,Thursday,2014,64.82666666666672,115.40810792742464,14.245225405908812,0.48095737856859516,0.004906345474380824,0.7256982348351794,0
2014-04-22,62.95,62.0,63.44,62.97,57524867.0,104.95,2014-04-22,0.05565800502933782,Tuesday,2014,64.45190476190483,115.03334602266274,13.870463501146915,1.752792058402721,0.012432177249479181,0.6815321527326592,0
2014-04-23,63.57,56.96,65.04,62.24,93784593.0,103.73333333333333,2014-04-23,-0.011592821978720025,Wednesday,2014,64.03952380952387,114.62096507028178,13.458082548765958,1.8891214889465697,0.011327982899274058,0.6603561750710354,0
2014-04-29,57.79,55.41,58.28,57.58,73453921.0,95.96666666666667,2014-04-29,-0.07487146529562982,Tuesday,2014,63.419523809523874,114.00096507028178,12.83808254876596,2.3304441636734565,-0.006157764427627233,0.713044683794936,0
2014-04-30,58.37,57.1,60.55,59.49,74063625.0,99.15,2014-04-30,0.03317124001389371,Wednesday,2014,62.79047619047625,113.37191745123417,12.209034929718335,2.1984380819117226,0.004230463799719986,0.8130989262970053,0
2014-05-05,61.1101,59.18,61.35,59.8,44887002.0,99.66666666666667,2014-05-05,0.0052109598251806055,Monday,2014,62.263333333333385,112.84477459409129,11.681892072575472,2.186876768361605,0.0015151835188124574,0.8915096117007631,0
2014-05-06,59.96,58.49,61.42,59.29,54394120.0,98.81666666666666,2014-05-06,-0.008528428093645402,Tuesday,2014,61.85714285714291,112.43858411790083,11.275701596384998,1.6707932247886406,-0.011322103105784187,0.8760608470360135,0
2014-05-08,57.1501,56.5,58.82,57.01,59520016.0,95.01666666666667,2014-05-08,-0.0384550514420644,Thursday,2014,61.32190476190482,111.90334602266273,10.740463501146905,1.252090252337873,-0.016694548998453063,0.8129258346848661,0
2014-05-09,57.05,56.38,57.65,57.09,51150216.0,95.15,2014-05-09,0.0014032625855113778,Friday,2014,60.74809523809528,111.3295364988532,10.166653977337369,1.368933891756467,-0.0014396034222248222,0.795925921529136,0
2014-05-13,59.81,59.51,60.89,60.14,47250566.0,100.23333333333333,2014-05-13,0.05342441758626726,Tuesday,2014,60.380952380952436,110.96239364171035,9.799511120194524,1.5061640016942102,0.0026110320922498875,0.7725163553440116,0
2014-05-14,59.85,58.95,60.45,59.35,46144027.0,98.91666666666667,2014-05-14,-0.0131360159627536,Wednesday,2014,60.116190476190525,110.69763173694844,9.534749215432612,1.4331364205823227,-0.0010583630653369536,0.7070753855895561,0
2014-05-15,58.37,57.52,59.61,57.64,55007186.0,96.06666666666668,2014-05-15,-0.02881213142375738,Thursday,2014,59.78190476190481,110.36334602266272,9.2004635011469,1.4175083774001112,-0.005115103731359349,0.5936464052121704,0
2014-05-16,57.5399,57.31,58.45,58.0,46463908.0,96.66666666666667,2014-05-16,0.006245662734212232,Friday,2014,59.64476190476195,110.22620316551986,9.063320644004037,1.2623509813041331,0.0038250391038959775,0.4476996381346942,0
2014-05-19,59.29,57.57,59.56,59.28,41611966.0,98.80000000000001,2014-05-19,0.022068965517241468,Monday,2014,59.47523809523814,110.05667935599605,8.893796834480227,1.0344660458417902,0.007958179690241995,0.36589987850225814,0
2014-05-20,59.0,58.18,60.19,58.28,52314359.0,97.13333333333334,2014-05-20,-0.01686909581646423,Tuesday,2014,59.25142857142861,109.83286983218653,8.669987310670699,0.7694803441281125,-0.006100522990304303,0.3256088662588389,0
2014-05-21,58.6,58.25,60.69,59.989,57696936.0,99.98166666666667,2014-05-21,0.0293239533287577,Wednesday,2014,59.16566666666671,109.74710792742462,8.584225405908796,0.9706411283268003,0.002391470867997958,0.2588695562731095,0
2014-05-22,60.49,60.4,61.48,61.0766,52645961.0,101.79433333333334,2014-05-22,0.01812999049825814,Thursday,2014,59.30074285714291,109.88218411790082,8.719301596384994,1.2608205153786045,0.011779895252401062,0.19179899975725412,0
2014-05-23,61.1586,60.15,61.45,60.93,36987387.0,101.55,2014-05-23,-0.0024002645857824634,Friday,2014,59.37883809523815,109.96027935599606,8.797396834480239,1.1684808821712067,0.010050709788402123,0.11863250222652053,0
2014-05-27,61.88,61.57,63.58,62.82,53788983.0,104.7,2014-05-27,0.03101920236336775,Tuesday,2014,59.564076190476236,110.14551745123416,8.982634929718323,1.6596943007673608,0.01184075715762738,0.15098724614469552,0
2014-05-28,63.7,62.62,64.14,62.95,46245223.0,104.91666666666667,2014-05-28,0.0020694046482012673,Wednesday,2014,59.72026666666672,110.30170792742463,9.138825405908804,1.2862814513160485,0.01562845725056048,0.21871494775478958,0
2014-05-29,63.92,63.3,64.3,63.96,41369995.0,106.60000000000001,2014-05-29,0.016044479745829898,Thursday,2014,59.97788571428576,110.55932697504367,9.396444453527849,1.3048861682153678,0.012972562533974918,0.2721867022955675,0
2014-05-30,63.45,62.56,64.17,63.06,44082827.0,105.10000000000001,2014-05-30,-0.01407129455909939,Friday,2014,60.14026666666671,110.72170792742463,9.558825405908799,1.1087515501679392,0.0065323055225034125,0.3071060516884131,0
2014-06-06,63.36,62.15,63.48,62.475,41188650.0,104.125,2014-06-06,-0.009276879162702256,Friday,2014,60.116695238095275,110.69813649885319,9.535253977337362,0.5526481701768514,0.005156982607119454,0.2528963739622423,0
2014-06-09,63.1699,61.79,63.34,62.94,36296719.0,104.9,2014-06-09,0.0074429771908763875,Monday,2014,60.150028571428614,110.73146983218652,9.5685873106707,0.5425126726628829,0.0004417375726211814,0.18188585977456806,0
2014-06-11,65.3,64.9,65.89,64.9401,42902369.0,108.2335,2014-06-11,0.03177788369876078,Wednesday,2014,60.50050952380957,111.08195078456748,9.919068263051656,0.9798205202994337,0.006383433382733084,0.1936610060514598,0
