month,Open,Low,High,Close,Volume,PE,month1,Returns,monthN,year,MovingAvg,UB,LB,STD,pct_ma,MovingAvgReturn,line
2016-03,109.31,105.49,116.36,114.355,327870137.0,88.64728682170542,2016-03-01,0.0662470862470863,March,2016,110.80250000000002,163.38486260197428,58.22013739802578,4.460732607094958,0.011277800814136096,0.779585226258831,0
2016-04,115.79,109.0,121.71,116.01,372930830.0,89.93023255813954,2016-04-01,0.014472476061387685,April,2016,115.18250000000003,167.76486260197427,62.60013739802579,4.593087784051196,0.040359781154236996,3.0971277015972127,0
2016-05,117.79,115.88,121.08,119.52,245226044.0,92.65116279069767,2016-05-01,0.03025601241272291,May,2016,117.76500000000001,170.34736260197425,65.18263739802578,4.569444167511004,0.022364244237055297,1.8261032624144766,0
2016-06,117.99,109.25,119.3,111.62,130902557.0,86.52713178294574,2016-06-01,-0.06609772423025428,June,2016,115.57000000000002,168.15236260197426,62.987637398025775,4.6247545880836025,-0.017920855908765687,1.5520993847047417,0
2016-07,114.55,112.97,133.91,125.39,335941229.0,97.2015503875969,2016-07-01,0.12336498835334164,July,2016,118.50500000000002,171.08736260197426,65.92263739802578,5.313775023464983,0.02863363206154368,2.075358402782724,0
2016-08,124.7,122.07,126.73,125.7735,221848943.0,97.49883720930232,2016-08-01,0.0030584576122496543,August,2016,125.58175000000003,178.16411260197427,72.99938739802579,6.0866954458063915,0.06321172298279565,5.004017913761988,0
2016-09,126.85,125.3,131.98,127.89,201671767.0,99.13953488372093,2016-09-01,0.016827869145726204,September,2016,126.83175000000003,179.41411260197427,74.24938739802579,6.6013410342142125,0.00994316337898793,0.8838834764837994,0
2016-10,128.15,126.75,133.84,132.86,233555076.0,102.9922480620155,2016-10-01,0.03886152162014245,October,2016,130.37500000000003,182.95736260197427,77.79263739802579,7.897410616778149,0.027844695382934326,2.5054561024394246,0
2016-11,129.6,113.5535,132.04,118.51,275990738.0,91.86821705426357,2016-11-01,-0.10800842992623816,November,2016,125.68500000000003,178.26736260197427,73.10263739802579,5.174923472864138,-0.034573454153047856,3.31633080376505,0
2016-12,115.14,114.0,122.5,115.17,174932954.0,89.27906976744185,2016-12-01,-0.02818327567293899,December,2016,116.84000000000003,169.42236260197427,64.25763739802579,7.156775108245357,-0.06809585279958857,6.254359479595073,0
2017-01,117.33,115.05,133.86,130.76,362859953.0,37.467048710601716,2017-01-01,0.13536511244247618,January,2017,122.96500000000003,175.54736260197427,70.38263739802579,7.778995436430098,0.05359091838476859,4.331029034767695,0
2017-02,133.35,103.0,137.99,135.63,371017464.0,38.862464183381086,2017-02-01,0.03724380544509032,February,2017,133.19500000000002,185.77736260197426,80.61263739802578,9.139558523254845,0.08630445894378325,7.233702371538445,0
2017-03,137.37,135.25,142.95,142.4465,320012350.0,40.81561604584527,2017-03-01,0.050258055002580404,March,2017,139.03825,191.62061260197424,86.45588739802577,11.488454071370963,0.04375093022383536,4.131801699168352,0
2017-04,142.04,138.81,151.53,149.8755,260356078.0,42.94426934097421,2017-04-01,0.0521529135499994,April,2017,146.161,198.74336260197424,93.57863739802576,13.115680288303768,0.0512054842762899,5.0365448256965175,0
2017-05,151.74,139.97,154.85,151.63,385130879.0,43.446991404011456,2017-05-01,0.011706382964527196,May,2017,150.75275,203.33511260197423,98.17038739802575,8.970101305169308,0.0319296482572633,3.246857562513434,0
2017-06,151.315,144.56,156.5,151.36,389579152.0,43.36962750716332,2017-06-01,-0.0017806502670973945,June,2017,151.495,204.07736260197424,98.91263739802577,6.9898639060428165,0.0049628663487149005,0.5248500083365554,0
2017-07,148.33,147.8,179.21,170.0763,414337640.0,48.73246418338109,2017-07-01,0.12365420190274823,July,2017,160.71815,213.30051260197425,108.13578739802577,10.213657875756368,0.06093677581782542,6.521751908900787,0
2017-08,170.6,165.0,173.05,171.9001,288829296.0,49.255042979942694,2017-08-01,0.01072342236984225,August,2017,170.9882,223.57056260197425,118.40583739802577,11.011755114739874,0.06718881213629524,7.262021998124933,0
2017-09,172.29,161.56,174.0,169.7,286174329.0,48.624641833810884,2017-09-01,-0.012798712740714091,September,2017,170.80005,223.38241260197424,118.21768739802576,10.475209352418663,-0.0010376451854359203,0.13304214088143135,0
2017-10,169.35,168.0,180.86,180.4932,301800483.0,51.71724928366762,2017-10-01,0.0636016499705363,October,2017,175.0966,227.67896260197423,122.51423739802576,10.640604220484812,0.025401468614911105,3.0381196407070616,0
2017-11,181.3644,174.0,188.0,177.5,333565648.0,50.85959885386819,2017-11-01,-0.016583450235244324,November,2017,178.99659999999997,231.5789626019742,126.41423739802573,4.813647658169338,0.02350909986764599,2.7577164466274176,0
2017-12,175.97,0.0,182.28,176.4,298060335.0,50.54441260744986,2017-12-01,-0.006197183098591519,December,2017,176.95,229.53236260197423,124.36763739802575,4.35566577207194,-0.011390316666917921,1.4471647383761737,0
2018-01,181.49,175.8,194.68,188.84,468113983.0,35.035250463821896,2018-01-01,0.07052154195011329,January,2018,182.62,235.20236260197424,130.03763739802577,6.958823783370215,0.032162179425760884,4.009295449327656,0
2018-02,188.42,167.18,195.32,182.3,490424690.0,33.82189239332097,2018-02-01,-0.03463249311586525,February,2018,185.57,238.15236260197423,132.98763739802575,4.918475012440227,0.01794452441712402,2.0859650044999194,0
2018-03,177.47,149.02,186.1,160.55,965313258.0,29.786641929499076,2018-03-01,-0.11930883159626993,March,2018,171.425,224.00736260197425,118.84263739802577,10.481155470652983,-0.07697066235606759,10.002025419883637,0
2018-04,159.45,150.49,177.7,171.8,729002899.0,31.87384044526902,2018-04-01,0.0700716287760823,April,2018,166.17500000000004,218.75736260197428,113.5926373980258,10.736103576251443,-0.02461860141009381,3.7123106012292157,0
2018-05,172.45,170.23,192.72,187.55,371810456.0,34.79591836734694,2018-05-01,0.09167636786961575,May,2018,179.67500000000004,232.25736260197428,127.0926373980258,11.93654346953082,0.08087399832284903,9.54594154601832,0
2018-06,193.6897,178.18,203.55,194.32,359517558.0,36.05194805194805,2018-06-01,0.03609704078912279,June,2018,190.93500000000003,243.51736260197427,138.3526373980258,13.327371458768555,0.06388670432936927,7.962022356160344,0
2018-07,194.87,164.3,219.0,172.68,632056175.0,32.03710575139147,2018-07-01,-0.11136270069987642,July,2018,183.50000000000003,236.08236260197427,130.9176373980258,13.480242950332862,-0.03763282995537681,5.257338918121687,0
2018-08,173.16,169.9,188.3,175.37,523288029.0,32.53617810760668,2018-08-01,0.015577947648830248,August,2018,174.02500000000006,226.6073626019743,121.44263739802582,10.046548163424035,-0.047892376525523084,6.699836751742353,0
2018-09,171.4152,158.26,175.97,167.19,464806141.0,31.018552875695732,2018-09-01,-0.04664423789701777,September,2018,171.28000000000006,223.8623626019743,118.69763739802582,11.174858835797387,-0.015533145124093761,1.9410081143566122,0
2018-10,163.3251,136.4,165.88,155.7,582856789.0,28.88682745825603,2018-10-01,-0.06872420599318152,October,2018,161.44500000000005,214.0273626019743,108.86263739802581,14.0827401452984,-0.057684221945099645,6.954395192969636,0
2018-11,150.6,126.71,154.13,138.03,484497710.0,25.608534322820038,2018-11-01,-0.11348747591522146,November,2018,146.86500000000004,199.44736260197428,94.2826373980258,15.279022547270486,-0.09110584095420149,10.309616869699896,0
2018-12,140.97,122.55,147.19,130.19,520479619.0,24.153988868274585,2018-12-01,-0.056799246540607085,December,2018,134.11000000000004,186.69236260197428,81.5276373980258,19.059262315210425,-0.08514336122791427,9.019146994034502,0
2019-01,130.66,127.0,171.68,167.005,496123996.0,22.06142668428005,2019-01-01,0.2827790152853522,January,2019,148.59750000000003,201.17986260197426,96.01513739802579,16.879739926906463,0.11298988437237256,10.24420949244017,0
2019-02,166.43,159.59,172.47,161.5,276705206.0,21.334214002642007,2019-02-01,-0.032963084937576714,February,2019,164.25250000000003,216.83486260197427,111.67013739802579,15.719819496419172,0.12490796517388775,11.069756659475471,0
2019-03,162.8,159.28,174.3,166.01,355330382.0,21.929986789960367,2019-03-01,0.02792569659442723,March,2019,163.75500000000002,216.33736260197426,111.17263739802578,17.182993627421276,-0.0025186941715747424,0.35178562364217625,0
2019-04,167.75,166.69,202.25,193.35,358252958.0,25.54161162483487,2019-04-01,0.16468887416420697,April,2019,179.68,232.26236260197425,127.09763739802577,22.489453750591615,0.0963072853793171,11.260675490395787,0
2019-05,194.37,177.16,196.1769,178.26,260500539.0,23.548216644649933,2019-05-01,-0.07804499612102411,May,2019,185.805,238.38736260197425,133.22263739802577,12.831475947840083,0.04332193902159143,4.331029034767715,0
2019-06,170.31,160.84,194.58,190.5,395304791.0,25.165125495376486,2019-06-01,0.06866374957926635,June,2019,184.38,236.96236260197423,131.79763739802576,14.211978398519971,-0.00469062327087888,1.0076271631912517,0
2019-07,194.47,191.11,216.5,197.4,344189656.0,26.076618229854688,2019-07-01,0.03622047244094495,July,2019,193.95,246.53236260197423,141.36763739802575,12.84256711097893,0.05244211101010565,6.767011895955316,0
